เลขที่จอง,หมายเลขห้อง,ชื่อลูกค้า,เบอร์โทร,วันเช็คอิน,วันเช็คเอาท์,จำนวนคืน,ราคาห้อง,ยอดรวม,ช่องทางชำระ,สถานะ
BKG-46dd126a-2c3b-4d3e-9f6f-ff54ff00eba1,A101,ทดสอบ ระบบ,,2026-03-10,2026-03-12,2,400.0,800.0,Telegram,Active
BKG-f371c535-fefc-49e2-aa05-7d08f6662699,B101,ลูกค้าทดสอบ,,2026-03-02,2026-03-03,1,400.0,400.0,Telegram,Active
VP01946,B106,,,,,1,400.0,400.0,,เช็คเอาทแ์ลว้
VP01947,N2,,,,,1,500.0,500.0,,เช็คเอาทแ์ลว้
VP01948,B103,,,,,1,400.0,400.0,,เช็คเอาทแ์ลว้
VP01949,B105,,,,,1,400.0,400.0,,เช็คเอาทแ์ลว้
VP01950,B107,,,,,1,400.0,400.0,,เช็คเอาทแ์ลว้
VP01951,N7,,,,,1,500.0,500.0,,เช็คเอาทแ์ลว้
VP01952,B107,,,,,1,400.0,400.0,,เช็คเอาทแ์ลว้
VP01953,A103,,,,,2,400.0,800.0,,เช็คเอาทแ์ลว้
VP01954,B106,,,,,1,400.0,400.0,,เช็คเอาทแ์ลว้
VP01955,B104,,,,,1,400.0,400.0,,เช็คเอาทแ์ลว้
VP01956,A105,,,,,1,400.0,400.0,,เช็คเอาทแ์ลว้
VP01957,B105,,,,,1,400.0,400.0,,เช็คเอาทแ์ลว้
VP01958,N6,,,,,1,600.0,600.0,,เช็คเอาทแ์ลว้
VP01959,B108,,,,,1,400.0,400.0,,เช็คเอาทแ์ลว้
VP01960,B104,,,,,1,400.0,400.0,,เช็คเอาทแ์ลว้
VP01961,B106,,,,,1,400.0,400.0,,เช็คเอาทแ์ลว้
VP01962,N7,,,,,1,500.0,500.0,,เช็คเอาทแ์ลว้ จองซอ้น
VP01963,N7,,,,,1,500.0,500.0,,เช็คเอาทแ์ลว้ จองซอ้น
VP01964,B105,,,,,1,400.0,400.0,,เช็คเอาทแ์ลว้
VP01965,B110,,,,,1,400.0,400.0,,เช็คเอาทแ์ลว้
VP01966,A111,,,,,1,400.0,400.0,,เช็คเอาทแ์ลว้
VP01967,A104,,,,,1,400.0,400.0,,เช็คเอาทแ์ลว้
VP01968,B107,,,,,1,400.0,400.0,,เช็คเอาทแ์ลว้
VP01969,B108,,,,,1,400.0,400.0,,เช็คเอาทแ์ลว้
VP01970,B104,,,,,1,400.0,400.0,,เช็คเอาทแ์ลว้
VP01971,B106,,,,,1,400.0,400.0,,เช็คเอาทแ์ลว้
VP01972,B107,,,,,1,400.0,400.0,,เช็คเอาทแ์ลว้
VP01973,A104,,,,,1,400.0,400.0,,เช็คเอาทแ์ลว้
VP01974,A105,,,,,1,400.0,400.0,,เช็คเอาทแ์ลว้
VP01975,A106,,,,,1,500.0,500.0,,เช็คเอาทแ์ลว้
VP01976,B105,,,,,1,400.0,400.0,,เช็คเอาทแ์ลว้
VP01977,A103,,,,,1,400.0,400.0,,เช็คเอาทแ์ลว้
VP01978,N7,,,,,1,500.0,500.0,,เช็คเอาทแ์ลว้
VP01979,B106,,,,,1,400.0,400.0,,เช็คเอาทแ์ลว้
VP01980,B104,,,,,1,400.0,400.0,,เช็คเอาทแ์ลว้
VP01981,B105,,,,,1,400.0,400.0,,เช็คเอาทแ์ลว้
VP01982,N2,,,,,1,500.0,500.0,,เช็คเอาทแ์ลว้
VP01983,B110,,,,,1,400.0,400.0,,เช็คเอาทแ์ลว้
VP01984,B107,,,,,1,400.0,400.0,,เช็คเอาทแ์ลว้
VP01985,A105,,,,,1,400.0,400.0,,เช็คเอาทแ์ลว้
VP01986,B106,,,,,1,400.0,400.0,,เช็คเอาทแ์ลว้
VP01987,B109,,,,,1,400.0,400.0,,เช็คเอาทแ์ลว้
VP01988,B107,,,,,1,400.0,400.0,,เช็คเอาทแ์ลว้
VP01989,B108,,,,,1,400.0,400.0,,เช็คเอาทแ์ลว้
VP01990,N2,,,,,1,500.0,500.0,,เช็คเอาทแ์ลว้
VP01991,B106,,,,,1,400.0,400.0,,เช็คเอาทแ์ลว้
VP01992,B105,,,,,1,400.0,400.0,,เช็คเอาทแ์ลว้
VP01993,N2,,,,,1,500.0,500.0,,เช็คเอาทแ์ลว้
VP01994,N7,,,,,1,500.0,500.0,,เช็คเอาทแ์ลว้
VP01995,B107,,,,,1,400.0,400.0,,เช็คเอาทแ์ลว้
VP01996,N3,,,,,1,500.0,500.0,,เช็คเอาทแ์ลว้
VP01997,B101,,,,,1,400.0,400.0,,เช็คเอาทแ์ลว้
VP01998,N4,,,,,1,600.0,600.0,,เช็คเอาทแ์ลว้
VP01999,B108,,,,,1,400.0,400.0,,เช็คเอาทแ์ลว้
VP02000,B104,,,,,1,400.0,400.0,,เช็คเอาทแ์ลว้
VP02001,B103,,,,,1,400.0,400.0,,เช็คเอาทแ์ลว้
VP02002,A111,,,,,1,400.0,400.0,,เช็คเอาทแ์ลว้
VP02003,B101,,,,,1,400.0,400.0,,เช็คเอาทแ์ลว้
VP02004,B106,,,,,1,400.0,400.0,,เช็คเอาทแ์ลว้
VP02005,B107,,,,,1,400.0,400.0,,เช็คเอาทแ์ลว้
VP02006,A111,,,,,1,400.0,400.0,,เช็คเอาทแ์ลว้
VP02007,B106,,,,,1,400.0,400.0,,เช็คเอาทแ์ลว้
VP02008,B109,,,,,1,400.0,400.0,,เช็คเอาทแ์ลว้
VP02009,N2,,,,,1,500.0,500.0,,เช็คเอาทแ์ลว้
VP02010,A108,,,,,1,500.0,500.0,,เช็คเอาทแ์ลว้
VP02011,B104,,,,,1,400.0,400.0,,เช็คเอาทแ์ลว้
VP02012,B105,,,,,1,400.0,400.0,,เช็คเอาทแ์ลว้
VP02013,N3,,,,,1,500.0,500.0,,เช็คเอาทแ์ลว้
VP02014,A105,,,,,1,400.0,400.0,,เช็คเอาทแ์ลว้
VP02015,B107,,,,,1,400.0,400.0,,เช็คเอาทแ์ลว้
VP02016,A111,,,,,1,400.0,400.0,,เช็คเอาทแ์ลว้
VP02017,N7,,,,,1,500.0,500.0,,เช็คเอาทแ์ลว้
VP02018,B106,,,,,1,400.0,400.0,,เช็คเอาทแ์ลว้
VP02019,B105,,,,,1,400.0,400.0,,เช็คเอาทแ์ลว้
VP02020,B108,,,,,1,400.0,400.0,,เช็คเอาทแ์ลว้
VP02021,A104,,,,,1,400.0,400.0,,เช็คเอาทแ์ลว้
VP02022,A105,,,,,1,400.0,400.0,,เช็คเอาทแ์ลว้
VP02023,B106,,,,,1,400.0,400.0,,เช็คเอาทแ์ลว้
VP02024,B108,,,,,1,400.0,400.0,,เช็คเอาทแ์ลว้
VP02025,B109,,,,,1,400.0,400.0,,เช็คเอาทแ์ลว้
VP02026,B107,,,,,1,400.0,400.0,,เช็คเอาทแ์ลว้
VP02027,A104,,,,,2,400.0,800.0,,เช็คเอาทแ์ลว้
VP02028,B105,,,,,1,400.0,400.0,,เช็คเอาทแ์ลว้
VP02029,A101,,,,,1,400.0,400.0,,เช็คเอาทแ์ลว้
VP02030,A111,,,,,1,400.0,400.0,,เช็คเอาทแ์ลว้
VP02031,B107,,,,,1,400.0,400.0,,เช็คเอาทแ์ลว้
VP02032,A105,,,,,1,400.0,400.0,,เช็คเอาทแ์ลว้
VP02033,N3,,,,,1,500.0,500.0,,เช็คเอาทแ์ลว้
VP02034,B105,,,,,1,400.0,400.0,,เช็คเอาทแ์ลว้
VP02035,A104,,,,,1,400.0,400.0,,เช็คเอาทแ์ลว้
VP02036,A105,,,,,1,400.0,400.0,,เช็คเอาทแ์ลว้
VP02037,A111,,,,,1,400.0,400.0,,เช็คเอาทแ์ลว้
VP02038,N2,,,,,1,500.0,500.0,,เช็คเอาทแ์ลว้
VP02039,B105,,,,,1,400.0,400.0,,เช็คเอาทแ์ลว้
VP02040,B106,,,,,1,400.0,400.0,,เช็คเอาทแ์ลว้
VP02041,B107,,,,,1,400.0,400.0,,เช็คเอาทแ์ลว้
VP02042,B108,,,,,1,400.0,400.0,,เช็คเอาทแ์ลว้
VP02043,A105,,,,,1,400.0,400.0,,เช็คเอาทแ์ลว้
VP02044,A105,,,,,1,400.0,400.0,,เช็คเอาทแ์ลว้
VP02045,A102,,,,,1,400.0,400.0,,เช็คเอาทแ์ลว้
VP02046,B108,,,,,1,400.0,400.0,,เช็คเอาทแ์ลว้
VP02047,A111,,,,,1,400.0,400.0,,เช็คเอาทแ์ลว้
VP02048,A101,,,,,1,400.0,400.0,,เช็คเอาทแ์ลว้
VP02049,B106,,,,,1,400.0,400.0,,เช็คเอาทแ์ลว้
VP02050,B105,,,,,1,400.0,400.0,,เช็คเอาทแ์ลว้
VP02051,B104,,,,,1,400.0,400.0,,เช็คเอาทแ์ลว้
VP02052,B103,,,,,1,400.0,400.0,,เช็คเอาทแ์ลว้ จองซอ้น
VP02053,B103,,,,,1,400.0,400.0,,เช็คเอาทแ์ลว้ จองซอ้น
VP02054,N7,,,,,1,500.0,500.0,,เช็คเอาทแ์ลว้
VP02055,A111,,,,,1,400.0,400.0,,เช็คเอาทแ์ลว้
VP02056,B102,,,,,1,400.0,400.0,,เช็คเอาทแ์ลว้
VP02057,A106,,,,,1,500.0,500.0,,เช็คเอาทแ์ลว้
VP02058,N7,,,,,1,500.0,500.0,,เช็คเอาทแ์ลว้
VP02059,B101,,,,,1,400.0,400.0,,เช็คเอาทแ์ลว้
VP02060,B208,,,,,1,400.0,400.0,,เช็คเอาทแ์ลว้
VP02061,B209,,,,,1,400.0,400.0,,เช็คเอาทแ์ลว้
VP02062,A101,,,,,1,400.0,400.0,,เช็คเอาทแ์ลว้
VP02063,A102,,,,,1,400.0,400.0,,เช็คเอาทแ์ลว้
VP02064,A104,,,,,1,400.0,400.0,,เช็คเอาทแ์ลว้
VP02065,A105,,,,,1,400.0,400.0,,เช็คเอาทแ์ลว้
VP02066,A103,,,,,1,400.0,400.0,,เช็คเอาทแ์ลว้
VP02067,A111,,,,,1,400.0,400.0,,เช็คเอาทแ์ลว้
VP02068,B203,,,,,1,400.0,400.0,,เช็คเอาทแ์ลว้
VP02069,B202,,,,,1,400.0,400.0,,เช็คเอาทแ์ลว้
VP02070,N7,,,,,1,500.0,500.0,,เช็คเอาทแ์ลว้
VP02071,B204,,,,,1,400.0,400.0,,เช็คเอาทแ์ลว้
VP02072,B105,,,,,1,400.0,400.0,,เช็คเอาทแ์ลว้
VP02073,B110,,,,,1,400.0,400.0,,เช็คเอาทแ์ลว้
VP02074,N2,,,,,1,500.0,500.0,,เช็คเอาทแ์ลว้
VP02075,B106,,,,,1,400.0,400.0,,เช็คเอาทแ์ลว้
VP02076,A111,,,,,1,400.0,400.0,,เช็คเอาทแ์ลว้
VP02077,A105,,,,,1,400.0,400.0,,เช็คเอาทแ์ลว้
VP02078,A111,,,,,1,400.0,400.0,,เช็คเอาทแ์ลว้
VP02079,A103,,,,,1,400.0,400.0,,เช็คเอาทแ์ลว้
VP02080,A101,,,,,1,400.0,400.0,,เช็คเอาทแ์ลว้
VP02081,A209,,,,,1,400.0,400.0,,เช็คเอาทแ์ลว้
VP02082,A210,,,,,1,400.0,400.0,,เช็คเอาทแ์ลว้
VP02083,B205,,,,,1,400.0,400.0,,เช็คเอาทแ์ลว้
VP02084,A105,,,,,1,400.0,400.0,,เช็คเอาทแ์ลว้
VP02085,A203,,,,,1,400.0,400.0,,เช็คเอาทแ์ลว้
VP02086,B210,,,,,1,400.0,400.0,,เช็คเอาทแ์ลว้
VP02087,B211,,,,,1,400.0,400.0,,เช็คเอาทแ์ลว้
VP02088,B201,,,,,1,400.0,400.0,,เช็คเอาทแ์ลว้
VP02089,B202,,,,,1,400.0,400.0,,เช็คเอาทแ์ลว้
VP02090,B203,,,,,1,400.0,400.0,,เช็คเอาทแ์ลว้
VP02091,N7,,,,,1,500.0,500.0,,เช็คเอาทแ์ลว้
VP02092,A101,,,,,1,400.0,400.0,,เช็คเอาทแ์ลว้
VP02093,B111,,,,,2,500.0,1000.0,,เช็คเอาทแ์ลว้
VP02094,N6,,,,,2,600.0,1200.0,,เช็คเอาทแ์ลว้
VP02095,N2,,,,,1,500.0,500.0,,เช็คเอาทแ์ลว้
VP02096,N3,,,,,1,500.0,500.0,,เช็คเอาทแ์ลว้
VP02097,A209,,,,,1,400.0,400.0,,เช็คเอาทแ์ลว้
VP02098,A210,,,,,1,400.0,400.0,,เช็คเอาทแ์ลว้
VP02099,B105,,,,,1,400.0,400.0,,เช็คเอาทแ์ลว้
VP02100,B106,,,,,1,400.0,400.0,,เช็คเอาทแ์ลว้
VP02101,B107,,,,,1,400.0,400.0,,เช็คเอาทแ์ลว้
VP02102,B101,,,,,2,400.0,800.0,,เช็คเอาทแ์ลว้
VP02103,B102,,,,,2,400.0,800.0,,เช็คเอาทแ์ลว้
VP02104,B103,,,,,2,400.0,800.0,,เช็คเอาทแ์ลว้
VP02105,B104,,,,,2,400.0,800.0,,เช็คเอาทแ์ลว้
VP02106,B105,,,,,1,400.0,400.0,,เช็คเอาทแ์ลว้
VP02107,B106,,,,,1,400.0,400.0,,เช็คเอาทแ์ลว้
VP02108,B107,,,,,1,400.0,400.0,,เช็คเอาทแ์ลว้
VP02109,A104,,,,,1,400.0,400.0,,เช็คเอาทแ์ลว้
VP02110,A111,,,,,1,400.0,400.0,,เช็คเอาทแ์ลว้
VP02111,N2,,,,,1,500.0,500.0,,เช็คเอาทแ์ลว้
VP02112,N7,,,,,1,500.0,500.0,,เช็คเอาทแ์ลว้
VP02113,A101,,,,,1,400.0,400.0,,เช็คเอาทแ์ลว้
VP02114,A102,,,,,1,400.0,400.0,,เช็คเอาทแ์ลว้
VP02115,N3,,,,,1,500.0,500.0,,เช็คเอาทแ์ลว้
VP02116,N2,,,,,1,500.0,500.0,,เช็คเอาทแ์ลว้
VP02117,B106,,,,,1,400.0,400.0,,เช็คเอาทแ์ลว้
VP02118,A111,,,,,1,400.0,400.0,,เช็คเอาทแ์ลว้
VP02119,B108,,,,,1,400.0,400.0,,เช็คเอาทแ์ลว้
VP02120,B109,,,,,1,400.0,400.0,,เช็คเอาทแ์ลว้
